	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.3333	0.7907	0.469	0.3063	111.0
DRINKS#PRICES	0.1579	1.0	0.2727	0.1579	19.0
DRINKS#QUALITY	0.25	0.375	0.3	0.1765	17.0
DRINKS#STYLE_OPTIONS	0.3077	0.6667	0.4211	0.2667	15.0
FOOD#PRICES	0.4	0.5	0.4444	0.2857	28.0
FOOD#QUALITY	0.6545	0.8333	0.7331	0.5787	216.0
FOOD#STYLE_OPTIONS	0.2333	0.3182	0.2692	0.1556	45.0
LOCATION#GENERAL	0.0612	0.6	0.1111	0.0588	51.0
RESTAURANT#GENERAL	0.2789	0.7571	0.4077	0.256	207.0
RESTAURANT#MISCELLANEOUS	0.093	0.2353	0.1333	0.0714	56.0
RESTAURANT#PRICES	0.3571	0.7143	0.4762	0.3125	32.0
SERVICE#GENERAL	0.5625	0.84	0.6738	0.5081	124.0
Micro-AVG	0.3918	0.7389	0.5121	0.3442	921.0
Macro-AVG	0.3075	0.6359	0.3926		921
