	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.325	0.3171	0.321	0.1912	68.0
DRINKS#PRICES	0.0	0.0	0.0	0.0	4.0
DRINKS#QUALITY	0.1481	0.5	0.2286	0.129	31.0
DRINKS#STYLE_OPTIONS	0.3333	0.5	0.4	0.25	8.0
FOOD#PRICES	0.0	0.0	0.0	0.0	14.0
FOOD#QUALITY	0.565	0.6757	0.6154	0.4444	225.0
FOOD#STYLE_OPTIONS	0.3333	0.0435	0.0769	0.04	25.0
LOCATION#GENERAL	0.1111	0.25	0.1538	0.0833	12.0
RESTAURANT#GENERAL	0.4615	0.6	0.5217	0.3529	119.0
RESTAURANT#MISCELLANEOUS	0.2	0.0667	0.1	0.0526	19.0
RESTAURANT#PRICES	0.2273	0.3571	0.2778	0.1613	31.0
SERVICE#GENERAL	0.597	0.5263	0.5594	0.3883	103.0
Micro-AVG	0.4655	0.4988	0.4816	0.3171	659.0
Macro-AVG	0.2751	0.3197	0.2712		659
