	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.3274	0.5606	0.4134	0.2606	142.0
DRINKS#PRICES	0.0	0.0	0.0	0.0	4.0
DRINKS#QUALITY	0.6923	0.4091	0.5143	0.3462	26.0
DRINKS#STYLE_OPTIONS	0.3333	0.3333	0.3333	0.2	20.0
FOOD#PRICES	0.0811	0.1304	0.1	0.0526	57.0
FOOD#QUALITY	0.6377	0.5399	0.5848	0.4132	409.0
FOOD#STYLE_OPTIONS	0.1623	0.4545	0.2392	0.1359	184.0
LOCATION#GENERAL	0.1	0.3846	0.1587	0.0862	58.0
RESTAURANT#GENERAL	0.3816	0.6127	0.4703	0.3074	283.0
RESTAURANT#MISCELLANEOUS	0.0476	0.0303	0.037	0.0189	53.0
RESTAURANT#PRICES	0.3143	0.5238	0.3929	0.2444	45.0
SERVICE#GENERAL	0.6194	0.6194	0.6194	0.4486	214.0
Micro-AVG	0.4127	0.5204	0.4604	0.299	1495.0
Macro-AVG	0.3081	0.3832	0.3219		1495
