	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.5	0.75	0.6	0.4286	7.0
AMBIENCE:NEUTRAL	0	0	0	0	0
AMBIENCE:POSITIVE	0.8571	0.75	0.8	0.6667	9.0
FOOD:NEGATIVE	0.7222	0.7222	0.7222	0.5652	23.0
FOOD:NEUTRAL	0.75	1.0	0.8571	0.75	4.0
FOOD:POSITIVE	0.9048	0.8261	0.8636	0.76	25.0
PRICE:NEGATIVE	1.0	0.6667	0.8	0.6667	6.0
PRICE:NEUTRAL	1.0	1.0	1.0	1.0	1.0
PRICE:POSITIVE	0.5	1.0	0.6667	0.5	2.0
GENERAL-IMPRESSION:NEGATIVE	0.5714	0.8889	0.6957	0.5333	15.0
GENERAL-IMPRESSION:NEUTRAL	0.0	0.0	0.0	0.0	1.0
GENERAL-IMPRESSION:POSITIVE	0.7778	0.6364	0.7	0.5385	13.0
SERVICE:NEGATIVE	1.0	0.5385	0.7	0.5385	13.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
SERVICE:POSITIVE	1.0	0.7895	0.8824	0.7895	19.0
Micro-AVG	0.7982	0.7436	0.7699	0.6259	139.0
Macro-AVG	0.6389	0.6379	0.6192		139
