id,raw_text,aspectTerms
0,"Judging from previous posts this used to be a good place, but not any longer.","[{'term': 'place', 'polarity': 'negative'}]"
1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.","[{'term': 'staff', 'polarity': 'negative'}]"
2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.","[{'term': 'noaspectterm', 'polarity': 'negative'}]"
4,"After all that, they complained to me about the small tip.","[{'term': 'noaspectterm', 'polarity': 'negative'}]"
6,"I have eaten at Saul, many times, the food is always consistently, outrageously good.","[{'term': 'food', 'polarity': 'positive'}]"
7,Saul is the best restaurant on Smith Street and in Brooklyn.,"[{'term': 'Saul', 'polarity': 'positive'}]"
8,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"[{'term': 'foie gras terrine with figs', 'polarity': 'positive'}, {'term': 'duck confit', 'polarity': 'positive'}]"
9,The wine list is interesting and has many good values.,"[{'term': 'wine list', 'polarity': 'positive'}, {'term': 'wine list', 'polarity': 'positive'}]"
10,"For the price, you cannot eat this well in Manhattan.","[{'term': 'noaspectterm', 'polarity': 'positive'}, {'term': 'noaspectterm', 'polarity': 'positive'}]"
11,I was very disappointed with this restaurant.,"[{'term': 'restaurant', 'polarity': 'negative'}]"
12,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,"[{'term': 'cart attendant', 'polarity': 'negative'}]"
13,I had to ask her three times before she finally came back with the dish Ive requested.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
14,"Food was okay, nothing great.","[{'term': 'Food', 'polarity': 'neutral'}]"
15,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,"[{'term': 'Chow fun', 'polarity': 'negative'}, {'term': 'pork shu mai', 'polarity': 'negative'}, {'term': 'noaspectterm', 'polarity': 'negative'}]"
16,I/we will never go back to this place again.,"[{'term': 'place', 'polarity': 'negative'}]"
18,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","[{'term': 'Service', 'polarity': 'positive'}, {'term': 'oysters', 'polarity': 'positive'}, {'term': 'noaspectterm', 'polarity': 'positive'}]"
19,You can't go wrong here.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
21,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","[{'term': 'noaspectterm', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'decor', 'polarity': 'positive'}]"
22,I had the duck breast special on my last visit and it was incredible.,"[{'term': 'duck breast special', 'polarity': 'positive'}]"
23,Can't wait wait for my next visit.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
24,And I hate to say this but I doubt I'll ever go back. ,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
25,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","[{'term': 'food', 'polarity': 'negative'}, {'term': 'Thai fusion stuff', 'polarity': 'negative'}, {'term': 'noaspectterm', 'polarity': 'negative'}]"
