	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.2857	0.4186	0.3396	0.2045	88.0
DRINKS#PRICES	0.0833	0.3333	0.1333	0.0714	14.0
DRINKS#QUALITY	0.4286	0.375	0.4	0.25	12.0
DRINKS#STYLE_OPTIONS	0.4286	0.5	0.4615	0.3	10.0
FOOD#PRICES	0.125	0.125	0.125	0.0667	30.0
FOOD#QUALITY	0.5389	0.6	0.5678	0.3965	227.0
FOOD#STYLE_OPTIONS	0.0417	0.0455	0.0435	0.0222	45.0
LOCATION#GENERAL	0.037	0.2	0.0625	0.0323	31.0
RESTAURANT#GENERAL	0.2951	0.5143	0.375	0.2308	156.0
RESTAURANT#MISCELLANEOUS	0.1053	0.1176	0.1111	0.0588	34.0
RESTAURANT#PRICES	0.1579	0.2143	0.1818	0.1	30.0
SERVICE#GENERAL	0.4038	0.56	0.4693	0.3066	137.0
Micro-AVG	0.3441	0.4709	0.3976	0.2482	814.0
Macro-AVG	0.2442	0.3336	0.2725		814
