	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.5	0.3077	0.381	0.2353	34.0
DRINKS#PRICES	0.0	0.0	0.0	0.0	3.0
DRINKS#QUALITY	1.0	0.2	0.3333	0.2	5.0
DRINKS#STYLE_OPTIONS	0.2	0.25	0.2222	0.125	8.0
FOOD#PRICES	0.2	0.1	0.1333	0.0714	14.0
FOOD#QUALITY	0.5747	0.5952	0.5848	0.4132	121.0
FOOD#STYLE_OPTIONS	0.1333	0.1538	0.1429	0.0769	26.0
LOCATION#GENERAL	0.0	0.0	0.0	0.0	19.0
RESTAURANT#GENERAL	0.3148	0.4146	0.3579	0.2179	78.0
RESTAURANT#MISCELLANEOUS	1.0	0.1	0.1818	0.1	10.0
RESTAURANT#PRICES	0.2857	0.4444	0.3478	0.2105	19.0
SERVICE#GENERAL	0.1765	0.5455	0.2667	0.1538	156.0
Micro-AVG	0.3105	0.4343	0.3621	0.2211	493.0
Macro-AVG	0.3654	0.2593	0.246		493
