	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.2553	0.75	0.381	0.2353	51.0
AMBIENCE:NEUTRAL	0.0526	1.0	0.1	0.0526	19.0
AMBIENCE:POSITIVE	0.481	0.9048	0.6281	0.4578	83.0
FOOD:NEGATIVE	0.5546	0.8919	0.6839	0.5197	127.0
FOOD:NEUTRAL	0.5652	0.8667	0.6842	0.52	25.0
FOOD:POSITIVE	0.7041	0.937	0.8041	0.6723	177.0
PRICE:NEGATIVE	0.6333	0.8636	0.7308	0.5758	33.0
PRICE:NEUTRAL	0.1667	1.0	0.2857	0.1667	12.0
PRICE:POSITIVE	0.5	0.8	0.6154	0.4444	9.0
GENERAL-IMPRESSION:NEGATIVE	0.3505	0.8718	0.5	0.3333	102.0
GENERAL-IMPRESSION:NEUTRAL	0.1333	0.6667	0.2222	0.125	16.0
GENERAL-IMPRESSION:POSITIVE	0.2692	0.875	0.4118	0.2593	162.0
SERVICE:NEGATIVE	0.4262	0.9123	0.581	0.4094	127.0
SERVICE:NEUTRAL	0.1429	1.0	0.25	0.1429	7.0
SERVICE:POSITIVE	0.6774	0.8514	0.7545	0.6058	104.0
Micro-AVG	0.4699	0.8897	0.615	0.444	1054.0
Macro-AVG	0.3942	0.8794	0.5088		1054
