	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.5	0.5625	0.5294	0.36	25.0
AMBIENCE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
AMBIENCE:POSITIVE	0.7674	0.75	0.7586	0.6111	54.0
FOOD:NEGATIVE	0.5929	0.8701	0.7053	0.5447	123.0
FOOD:NEUTRAL	1.0	0.3333	0.5	0.3333	12.0
FOOD:POSITIVE	0.6992	0.949	0.8052	0.6739	138.0
PRICE:NEGATIVE	0.75	0.3	0.4286	0.2727	22.0
PRICE:NEUTRAL	0.0	0.0	0.0	0.0	2.0
PRICE:POSITIVE	0.3333	0.1667	0.2222	0.125	8.0
GENERAL-IMPRESSION:NEGATIVE	0.5893	0.8462	0.6947	0.5323	62.0
GENERAL-IMPRESSION:NEUTRAL	1.0	0.6667	0.8	0.6667	3.0
GENERAL-IMPRESSION:POSITIVE	0.6613	0.8542	0.7455	0.5942	69.0
SERVICE:NEGATIVE	0.6447	0.875	0.7424	0.5904	83.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
SERVICE:POSITIVE	0.9206	0.8657	0.8923	0.8056	72.0
Micro-AVG	0.6816	0.8082	0.7395	0.5867	675.0
Macro-AVG	0.5639	0.536	0.5216		675
