	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.3077	0.75	0.4364	0.2791	43.0
AMBIENCE:NEUTRAL	0.125	1.0	0.2222	0.125	8.0
AMBIENCE:POSITIVE	0.5873	0.881	0.7048	0.5441	68.0
FOOD:NEGATIVE	0.6667	0.8919	0.763	0.6168	107.0
FOOD:NEUTRAL	0.7778	0.9333	0.8485	0.7368	19.0
FOOD:POSITIVE	0.8169	0.9134	0.8625	0.7582	153.0
PRICE:NEGATIVE	0.8182	0.8182	0.8182	0.6923	26.0
PRICE:NEUTRAL	0.5	1.0	0.6667	0.5	4.0
PRICE:POSITIVE	0.8	0.8	0.8	0.6667	6.0
GENERAL-IMPRESSION:NEGATIVE	0.5806	0.9231	0.7129	0.5538	65.0
GENERAL-IMPRESSION:NEUTRAL	0.5	0.6667	0.5714	0.4	5.0
GENERAL-IMPRESSION:POSITIVE	0.5513	0.8958	0.6825	0.5181	83.0
SERVICE:NEGATIVE	0.5952	0.8772	0.7092	0.5495	91.0
SERVICE:NEUTRAL	0.2	1.0	0.3333	0.2	5.0
SERVICE:POSITIVE	0.7253	0.8919	0.8	0.6667	99.0
Micro-AVG	0.6464	0.8897	0.7488	0.5985	782.0
Macro-AVG	0.5701	0.8828	0.6621		782
