	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL:POSITIVE	0.234	0.6667	0.3465	0.2095	105.0
AMBIENCE#GENERAL:NEUTRAL	0.04	0.3333	0.0714	0.037	27.0
AMBIENCE#GENERAL:NEGATIVE	0.5	0.7143	0.5882	0.4167	12.0
DRINKS#PRICES:POSITIVE	0.0769	0.5	0.1333	0.0714	14.0
DRINKS#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	9.0
DRINKS#PRICES:NEGATIVE	0.25	1.0	0.4	0.25	4.0
DRINKS#QUALITY:POSITIVE	0.5	0.2857	0.3636	0.2222	9.0
DRINKS#QUALITY:NEUTRAL	0.0	0.0	0.0	0.0	13.0
DRINKS#QUALITY:NEGATIVE	0.0	0.0	0.0	0.0	6.0
DRINKS#STYLE_OPTIONS:POSITIVE	0.1579	0.6	0.25	0.1429	21.0
DRINKS#STYLE_OPTIONS:NEUTRAL	0.0	0.0	0.0	0.0	12.0
DRINKS#STYLE_OPTIONS:NEGATIVE	1.0	1.0	1.0	1.0	1.0
FOOD#PRICES:POSITIVE	0.2308	0.4286	0.3	0.1765	17.0
FOOD#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	11.0
FOOD#PRICES:NEGATIVE	0.375	0.3333	0.3529	0.2143	14.0
FOOD#QUALITY:POSITIVE	0.3426	0.7818	0.4765	0.3127	275.0
FOOD#QUALITY:NEUTRAL	0.0348	0.8	0.0667	0.0345	116.0
FOOD#QUALITY:NEGATIVE	0.2807	0.9143	0.4295	0.2735	117.0
FOOD#STYLE_OPTIONS:POSITIVE	0.044	0.3077	0.0769	0.04	100.0
FOOD#STYLE_OPTIONS:NEUTRAL	0.0	0.0	0.0	0.0	22.0
FOOD#STYLE_OPTIONS:NEGATIVE	0.2857	0.2857	0.2857	0.1667	12.0
LOCATION#GENERAL:POSITIVE	0.0588	0.75	0.1091	0.0577	52.0
LOCATION#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	50.0
LOCATION#GENERAL:NEGATIVE	0.0	0.0	0.0	0.0	9.0
RESTAURANT#GENERAL:POSITIVE	0.1875	0.75	0.3	0.1765	221.0
RESTAURANT#GENERAL:NEUTRAL	0.0476	1.0	0.0909	0.0476	21.0
RESTAURANT#GENERAL:NEGATIVE	0.2683	0.6471	0.3793	0.234	47.0
RESTAURANT#MISCELLANEOUS:POSITIVE	0.0769	0.2	0.1111	0.0588	34.0
RESTAURANT#MISCELLANEOUS:NEUTRAL	0.0	0.0	0.0	0.0	21.0
RESTAURANT#MISCELLANEOUS:NEGATIVE	0.0	0.0	0.0	0.0	14.0
RESTAURANT#PRICES:POSITIVE	0.2	0.3333	0.25	0.1429	14.0
RESTAURANT#PRICES:NEUTRAL	0.0526	1.0	0.1	0.0526	19.0
RESTAURANT#PRICES:NEGATIVE	0.2941	0.7143	0.4167	0.2632	19.0
SERVICE#GENERAL:POSITIVE	0.1463	0.8824	0.251	0.1435	209.0
SERVICE#GENERAL:NEUTRAL	0.0625	0.5	0.1111	0.0588	17.0
SERVICE#GENERAL:NEGATIVE	0.2446	0.8718	0.382	0.2361	144.0
Micro-AVG	0.1782	0.697	0.2838	0.1654	1808.0
Macro-AVG	0.1664	0.4611	0.2123		1808
