sentence_id	sentence	target	category	polarity	category_polarity	entailed	start	end
14	Solide und gute Schwäbische Küche und freundliches und aufmerksames Personal .	Küche	food	positive	food positive	yes	5	6
14	Solide und gute Schwäbische Küche und freundliches und aufmerksames Personal .	Küche	food	negative	food negative	no	0	0
14	Solide und gute Schwäbische Küche und freundliches und aufmerksames Personal .	Küche	food	neutral	food neutral	no	0	0
14	Solide und gute Schwäbische Küche und freundliches und aufmerksames Personal .	Personal	service	positive	service positive	yes	10	11
14	Solide und gute Schwäbische Küche und freundliches und aufmerksames Personal .	Personal	service	negative	service negative	no	0	0
14	Solide und gute Schwäbische Küche und freundliches und aufmerksames Personal .	Personal	service	neutral	service neutral	no	0	0
15	Außerdem sind die Pizzen wirklich groß und es gibt nur die eine Größe , sodass man für die einfachste Pizza schon 9 Euro zahlt .	Pizza	price	positive	price positive	no	0	0
15	Außerdem sind die Pizzen wirklich groß und es gibt nur die eine Größe , sodass man für die einfachste Pizza schon 9 Euro zahlt .	Pizza	price	negative	price negative	yes	20	21
15	Außerdem sind die Pizzen wirklich groß und es gibt nur die eine Größe , sodass man für die einfachste Pizza schon 9 Euro zahlt .	Pizza	price	neutral	price neutral	no	0	0
20	Beilagensalat klein , kaum Dressung und lieblos .	Beilagensalat	food	positive	food positive	no	0	0
20	Beilagensalat klein , kaum Dressung und lieblos .	Beilagensalat	food	negative	food negative	yes	1	2
20	Beilagensalat klein , kaum Dressung und lieblos .	Beilagensalat	food	neutral	food neutral	no	0	0
20	Beilagensalat klein , kaum Dressung und lieblos .	Dressung	food	positive	food positive	no	0	0
20	Beilagensalat klein , kaum Dressung und lieblos .	Dressung	food	negative	food negative	yes	5	6
20	Beilagensalat klein , kaum Dressung und lieblos .	Dressung	food	neutral	food neutral	no	0	0
37	Die Bestuhlung ist recht eng - und ein Zitat kommt zum Tragen : und man merkt die Absicht - und man ist verstimmt . . . .	Bestuhlung	ambience	positive	ambience positive	no	0	0
37	Die Bestuhlung ist recht eng - und ein Zitat kommt zum Tragen : und man merkt die Absicht - und man ist verstimmt . . . .	Bestuhlung	ambience	negative	ambience negative	yes	2	3
37	Die Bestuhlung ist recht eng - und ein Zitat kommt zum Tragen : und man merkt die Absicht - und man ist verstimmt . . . .	Bestuhlung	ambience	neutral	ambience neutral	no	0	0
52	Wurde sehr freundlich von Sophie bedient !	Sophie	service	positive	service positive	yes	5	6
52	Wurde sehr freundlich von Sophie bedient !	Sophie	service	negative	service negative	no	0	0
52	Wurde sehr freundlich von Sophie bedient !	Sophie	service	neutral	service neutral	no	0	0
54	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	Preise	price	positive	price positive	yes	9	10
54	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	Preise	price	negative	price negative	no	0	0
54	Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .	Preise	price	neutral	price neutral	no	0	0
56	Wir waren an 2 Abende in dieser netten Location und haben mitnetten Freunden ein hervorragendes Menü gegessen .	Menü	food	positive	food positive	yes	16	17
