	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.2258	0.4565	0.3022	0.178	118.0
DRINKS#PRICES	0.0	0.0	0.0	0.0	3.0
DRINKS#QUALITY	0.3333	0.4286	0.375	0.2308	13.0
DRINKS#STYLE_OPTIONS	0.0	0.0	0.0	0.0	7.0
FOOD#PRICES	0.2667	0.2667	0.2667	0.1538	26.0
FOOD#QUALITY	0.4444	0.7248	0.551	0.3803	284.0
FOOD#STYLE_OPTIONS	0.1905	0.16	0.1739	0.0952	42.0
LOCATION#GENERAL	1.0	0.2	0.3333	0.2	5.0
RESTAURANT#GENERAL	0.3333	0.4	0.3636	0.2222	126.0
RESTAURANT#MISCELLANEOUS	0.3333	0.1111	0.1667	0.0909	22.0
RESTAURANT#PRICES	0.25	0.3077	0.2759	0.16	25.0
SERVICE#GENERAL	0.5135	0.5352	0.5241	0.3551	107.0
Micro-AVG	0.379	0.4965	0.4299	0.2738	778.0
Macro-AVG	0.3242	0.2992	0.2777		778
