id,raw_text,aspectTerms
8,Das Personal war wirklich sehr nett.,"[{'term': 'Personal', 'polarity': 'positive'}]"
20,Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an!!,"[{'term': 'Kellner', 'polarity': 'negative'}]"
24,Was ganz besonderes in LOC.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
25,"Das Trinkgeld steht aber mit auf dem Kassenbon...Auf alle Faelle sind die Preise ein echter Hammer - 4,20 EUR fuer einen Tee ist schon dekadent","[{'term': 'Preise', 'polarity': 'negative'}, {'term': 'Tee', 'polarity': 'negative'}]"
30,"Die Qualität der Speisen ist auch nicht so toll, die Ofenkartoffel hat wohl auch schon ein paar Tage gelegen.","[{'term': 'Speisen', 'polarity': 'negative'}, {'term': 'Ofenkartoffel', 'polarity': 'negative'}]"
53,Der Rotwein wurde zweimal viel zu warm serviert.,"[{'term': 'Rotwein', 'polarity': 'negative'}]"
60,Obst braun.,"[{'term': 'Obst', 'polarity': 'negative'}]"
65,Wir haben bei dem herrlichen Wetter draußen gesessen.,"[{'term': 'Wetter', 'polarity': 'positive'}]"
83,Das Restaurant ist für Pastaliebhaber sehr zu empfehlen.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
91,"Keine Tischdecken ,keine Dekoration und dann noch abgenutzte Tische.","[{'term': 'Tischdecken', 'polarity': 'negative'}, {'term': 'Dekoration', 'polarity': 'negative'}, {'term': 'Tische', 'polarity': 'negative'}]"
102,Das Essen verdient das Prädikat gut.,"[{'term': 'Essen', 'polarity': 'positive'}]"
106,Kommen gerne wieder wenn es uns mal wieder nach LOC verschlägt,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
109,Der georderte vegane Bagel war köstlich was wir von den lieblos angerichteten Käsespätzle leider nicht behaupten konnten.,"[{'term': 'Käsespätzle', 'polarity': 'negative'}, {'term': 'Bagel', 'polarity': 'positive'}]"
112,Wurde aber sehr positiv überrascht.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
148,Hier stimmte Preis/Leistung.,"[{'term': 'Preis/Leistung', 'polarity': 'positive'}]"
150,Hauptspeise eine riesige Enttäuschung.,"[{'term': 'Hauptspeise', 'polarity': 'negative'}]"
151,Ich habe in meinem Leben noch nie einen so schlechten Schweinebraten gegessen!!!!,"[{'term': 'Schweinebraten', 'polarity': 'negative'}]"
153,Die Speisen waren geschmackvoll zubereitet und wurden trotz hohem Gästeaufkommens zeitnah serviert.,"[{'term': 'Speisen', 'polarity': 'positive'}, {'term': 'noaspectterm', 'polarity': 'positive'}]"
158,"Weder das Stammpersonal, das zigfach an uns vorbeiging, ein Augenkontakt wurde vermieden, Ansprache ignoriert.","[{'term': 'Stammpersonal', 'polarity': 'negative'}]"
161,Regelrecht zerkocht.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
165,Bedienung war nett und schnell.,"[{'term': 'Bedienung', 'polarity': 'positive'}]"
168,"Vor allem in der jetzigen Jahreszeit, den zahlenden Kunden bei Regen, Wind und Kälte (wie letztes selbst erlebt) 20 min, ungeschützt vor der Tür warten zu lassen grenzt schon an Unverschämtheit.","[{'term': 'noaspectterm', 'polarity': 'negative'}]"
171,"Das Rinderragout war fasrig, zerkocht und unangenehm überwürzt, die in der Karte anvisierten Gemüsenudeln stellten sich als pappige Penne heraus.","[{'term': 'Rinderragout', 'polarity': 'negative'}, {'term': 'Gemüsenudeln', 'polarity': 'negative'}]"
174,Bayrisch Essen und Gastfreundschaft geht anders.,"[{'term': 'Essen', 'polarity': 'negative'}, {'term': 'Gastfreundschaft', 'polarity': 'negative'}]"
179,Nichts konnte überzeugen.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
193,Personal aber wirklich auf zack.,"[{'term': 'Personal', 'polarity': 'positive'}]"
197,"Der dazugehörige Krautsalat, welcher überhaupt keiner war, war ungenießbar.","[{'term': 'Krautsalat', 'polarity': 'negative'}]"
199,Wäre in LOC Mittelklasse.,"[{'term': 'noaspectterm', 'polarity': 'neutral'}]"
208,Schade.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
210,Die Portionen waren sehr gross und eigentlich zu viel für uns älteren Leute.,"[{'term': 'Portionen', 'polarity': 'positive'}]"
