id,raw_text,aspectTerms
20,Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an!!,"[{'term': 'Kellner', 'polarity': 'negative'}]"
25,"Das Trinkgeld steht aber mit auf dem Kassenbon...Auf alle Faelle sind die Preise ein echter Hammer - 4,20 EUR fuer einen Tee ist schon dekadent","[{'term': 'Preise', 'polarity': 'negative'}, {'term': 'Tee', 'polarity': 'negative'}]"
83,Das Restaurant ist für Pastaliebhaber sehr zu empfehlen.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
109,Der georderte vegane Bagel war köstlich was wir von den lieblos angerichteten Käsespätzle leider nicht behaupten konnten.,"[{'term': 'Käsespätzle', 'polarity': 'negative'}, {'term': 'Bagel', 'polarity': 'positive'}]"
153,Die Speisen waren geschmackvoll zubereitet und wurden trotz hohem Gästeaufkommens zeitnah serviert.,"[{'term': 'Speisen', 'polarity': 'positive'}, {'term': 'noaspectterm', 'polarity': 'positive'}]"
161,Regelrecht zerkocht.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
165,Bedienung war nett und schnell.,"[{'term': 'Bedienung', 'polarity': 'positive'}]"
168,"Vor allem in der jetzigen Jahreszeit, den zahlenden Kunden bei Regen, Wind und Kälte (wie letztes selbst erlebt) 20 min, ungeschützt vor der Tür warten zu lassen grenzt schon an Unverschämtheit.","[{'term': 'noaspectterm', 'polarity': 'negative'}]"
179,Nichts konnte überzeugen.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
199,Wäre in LOC Mittelklasse.,"[{'term': 'noaspectterm', 'polarity': 'neutral'}]"
219,"Da es vermutlich wegen der Buchmesse viel zu laut war, konnte keine vernünftige Unterhaltung stattfinden.","[{'term': 'noaspectterm', 'polarity': 'negative'}]"
231,Ein Schnitzel glich dem anderen - leider nur TK-Ware ohne Liebe frittiert.,"[{'term': 'Schnitzel', 'polarity': 'negative'}]"
243,Preis / Leistung top!,"[{'term': 'Preis / Leistung', 'polarity': 'positive'}]"
252,"Sehr nettes Personal und Verständnis, wenn man länger sitzen bleibt.","[{'term': 'Personal', 'polarity': 'positive'}]"
262,Ich würde das Lokal wieder empfehlen.,"[{'term': 'Lokal', 'polarity': 'positive'}]"
276,Die Beilagen hingegen waren super.,"[{'term': 'Beilagen', 'polarity': 'positive'}]"
283,Gern wieder :),"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
286,Gerne wieder!,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
311,Der Leberkäse hingegen sehr gut.,"[{'term': 'Leberkäse', 'polarity': 'positive'}]"
315,"Auch wenn mich ein Restaurant schonmal enttäuscht hat, gebe ich gerne eine zweite Chance.","[{'term': 'Restaurant', 'polarity': 'negative'}]"
346,"Aber als Vegetarierer gab es keinerlei Auswahl, wir mussten von der LOC zwei Gänge bestellen, wobei es bei jedem Gang nur eine Möglichkeit gab, beim Hauptgericht bestand diese aus einer Selleriescheibe, was auch nicht jedermanns Sache ist.","[{'term': 'Auswahl', 'polarity': 'negative'}, {'term': 'Selleriescheibe', 'polarity': 'negative'}]"
376,Der Keller hat uns durch seine Art den Abend versaut und unsere Tradition endet somit und wir suchen ein neues Lokal.,"[{'term': 'Keller', 'polarity': 'negative'}]"
387,"Ein gemütliches Restaurant, die Aussenbestuhlung befindet sich vor dem Lokal, der bestellte Rosewein wurde hervorragend im Weinkühler serviert und unsere Fischgerichte waren sehr lecker!","[{'term': 'Restaurant', 'polarity': 'positive'}, {'term': 'Rosewein', 'polarity': 'positive'}, {'term': 'Fischgerichte', 'polarity': 'positive'}]"
399,Service absolut unterirdisch.,"[{'term': 'Service', 'polarity': 'negative'}]"
401,"Einziger Lichtblick und auch der Grund warum ich es nicht mit „mangelhaft“ bewerte, war der sehr freundliche Kellner.","[{'term': 'noaspectterm', 'polarity': 'negative'}, {'term': 'Kellner', 'polarity': 'positive'}]"
402,"Man hat ihn angemerkt, dass er seinen Job gern macht.","[{'term': 'noaspectterm', 'polarity': 'positive'}]"
426,"Dieses Restaurant bietet eine köstliche Auswahl an klassischen Gerichten, von denen jedes vor Geschmack strotzt.","[{'term': 'Gerichten', 'polarity': 'positive'}]"
444,Für einen ruhigen Abend mit wohlfühlcharakter ist man hier definitiv falsch.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
453,Sehr angenehme Ambiance im LOC.,"[{'term': 'Ambiance', 'polarity': 'positive'}]"
454,Das Frühstück ist sehr schmackhaft und vielfältig.,"[{'term': 'Frühstück', 'polarity': 'positive'}]"
471,Wir werden also schon erwartet und sofort kümmert sich der Service um unser Wohl.,"[{'term': 'Service', 'polarity': 'positive'}]"
491,Das Essen war sehr sehr lecker und kam zügig.,"[{'term': 'Essen', 'polarity': 'positive'}, {'term': 'noaspectterm', 'polarity': 'positive'}]"
523,Geschmack fad.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
531,"Dann, keine 10 Minuten später, bekam ich ein neues Steak, das auf den Punkt zubereitet war.","[{'term': 'Steak', 'polarity': 'positive'}]"
542,Unmögliches Raumklima innerhalb.,"[{'term': 'Raumklima', 'polarity': 'negative'}]"
544,"Es war viel zu laut, wie im Club.","[{'term': 'noaspectterm', 'polarity': 'negative'}]"
586,"Positiv zu vermerken ist die einzigartige Lage, das traditionelle Ambiente und der freundliche Service.","[{'term': 'Lage', 'polarity': 'positive'}, {'term': 'Ambiente', 'polarity': 'positive'}, {'term': 'Service', 'polarity': 'positive'}]"
596,Bedienung sehr zuvorkommend,"[{'term': 'Bedienung', 'polarity': 'positive'}]"
599,Sehr nette und zuvorkommende Bedienung.,"[{'term': 'Bedienung', 'polarity': 'positive'}]"
606,Mit den LOC kann man Fenster einschmeißen - jeder Bahnhof serviert bessere…Einzig und alleine die Maß war lecker.,"[{'term': 'Maß', 'polarity': 'positive'}, {'term': 'LOC', 'polarity': 'negative'}]"
658,"Leider sind die Toiletten sehr unsauber, nicht gepflegt mit starker Geruchsbildung der einem auf dem Weg dorthin schon entgegen schlägt.","[{'term': 'Toiletten', 'polarity': 'negative'}]"
722,Wir waren zu zweit an einem Montag Abend dort und haben sehr fein gegessen.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
747,Über die Qualität der Gerichte muß man nicht mehr reden: hervorragend!,"[{'term': 'Gerichte', 'polarity': 'positive'}]"
755,Die Kellnerin hat einen genervten Eindruck gemacht.,"[{'term': 'Kellnerin', 'polarity': 'negative'}]"
761,Wir freuen uns auf ein Wiedersehen!,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
773,Da sollte sich das Management vom LOC schämen sowas haben wir nie erlebt.,"[{'term': 'Management', 'polarity': 'negative'}]"
776,Im Sterneküchenbereich eher selten…Eine fabelhafte Beratung vorweg und natürlich das exzellente Essen.,"[{'term': 'Essen', 'polarity': 'positive'}, {'term': 'Beratung', 'polarity': 'positive'}]"
